validTime,temperature,wind_speed,precipitation,air_pressure
05-02 00:00,-2.3,20.5,2.1,1006.6
05-02 01:00,-2.6,75.0,1.9,1006.9
05-02 02:00,-2.9,16.7,1.8,1007.2
05-02 03:00,-2.7,19.4,1.6,1007.4
05-02 04:00,-1.2,24.6,2.5,1007.8
05-02 05:00,0.4,30.3,3.0,1008.0
05-02 06:00,1.0,0.0,-9.0,5.4
05-02 07:00,0.0,0.0,-9.0,5.5
05-02 08:00,0.0,0.0,-9.0,6.1
05-02 09:00,0.0,0.0,-9.0,6.1
05-02 10:00,0.0,0.0,-9.0,6.1
05-02 11:00,0.0,0.0,-9.0,6.3
05-02 12:00,0.0,0.0,-9.0,6.2
05-02 13:00,0.0,0.0,-9.0,5.8
05-02 14:00,0.0,0.0,-9.0,6.3
05-02 15:00,0.0,0.0,-9.0,6.6
05-02 16:00,0.0,0.0,-9.0,6.7
05-02 17:00,1.0,0.0,-9.0,5.4
05-02 18:00,1.0,0.0,-9.0,4.6
05-02 19:00,0.0,0.0,-9.0,4.3
05-02 20:00,0.0,0.0,-9.0,4.7
05-02 21:00,0.0,0.0,-9.0,6.2
05-02 22:00,0.0,0.0,-9.0,6.8
05-02 23:00,0.0,0.0,98.0,7.9
05-03 00:00,0.0,0.0,98.0,9.7
05-03 01:00,0.0,0.0,100.0,9.4
05-03 02:00,0.0,0.0,100.0,9.4
05-03 03:00,0.0,0.0,-9.0,10.1
05-03 04:00,0.0,0.0,-9.0,10.1
05-03 05:00,0.0,0.0,-9.0,9.9
05-03 06:00,0.0,0.0,-9.0,9.9
05-03 07:00,0.0,0.0,-9.0,9.2
05-03 08:00,0.0,0.0,-9.0,9.1
05-03 09:00,0.0,0.0,-9.0,8.9
05-03 10:00,0.0,0.0,-9.0,9.0
05-03 11:00,0.0,0.0,-9.0,9.0
05-03 12:00,0.0,0.0,-9.0,9.2
05-03 13:00,0.0,0.0,-9.0,9.3
05-03 14:00,0.0,0.0,-9.0,9.3
05-03 15:00,0.0,0.0,-9.0,9.0
05-03 16:00,0.0,0.0,-9.0,9.0
05-03 17:00,0.0,0.0,-9.0,8.5
05-03 18:00,0.0,0.0,-9.0,8.3
05-03 19:00,1.0,0.0,-9.0,8.0
05-03 20:00,1.0,0.0,-9.0,7.6
05-03 21:00,1.0,0.0,-9.0,6.0
05-03 22:00,2.0,0.0,-9.0,5.9
05-03 23:00,3.0,0.0,-9.0,6.2
05-04 00:00,5.0,0.0,-9.0,6.6
05-04 01:00,7.0,0.0,-9.0,6.9
05-04 02:00,7.0,0.0,-9.0,7.2
05-04 03:00,6.0,0.0,-9.0,7.6
05-04 04:00,4.0,0.0,-9.0,8.2
05-04 05:00,2.0,0.0,-9.0,8.7
05-04 06:00,1.0,0.0,-9.0,8.7
05-04 07:00,0.0,0.0,-9.0,8.7
05-04 08:00,0.0,0.0,-9.0,8.7
05-04 09:00,1.0,0.0,-9.0,8.7
05-04 10:00,1.0,0.0,-9.0,8.5
05-04 11:00,1.0,0.0,-9.0,8.7
05-04 12:00,0.0,0.0,-9.0,9.0
05-04 18:00,0.0,0.0,-9.0,5.4
05-05 00:00,0.0,0.0,-9.0,5.3
05-05 06:00,1.0,0.0,-9.0,4.8
05-05 12:00,0.0,0.0,-9.0,6.6
05-05 18:00,0.0,0.0,-9.0,6.2
05-06 00:00,7.0,0.0,-9.0,5.2
05-06 06:00,0.0,0.0,-9.0,3.9
05-06 12:00,0.0,0.0,-9.0,8.0
05-06 18:00,8.0,0.0,-9.0,7.8
05-07 00:00,8.0,0.0,-9.0,6.3
05-07 06:00,8.0,0.0,-9.0,3.2
05-07 12:00,2.0,0.0,-9.0,6.1
05-07 18:00,0.0,0.0,-9.0,6.6
05-08 00:00,0.0,0.0,-9.0,6.8
05-08 12:00,0.0,0.0,-9.0,6.2
05-09 00:00,5.0,0.0,-9.0,5.8
05-09 12:00,1.0,0.0,0.0,6.4
05-10 00:00,3.0,0.0,0.0,5.9
05-10 12:00,2.0,0.0,0.0,7.1
05-11 00:00,6.0,0.0,0.0,5.6
05-11 12:00,2.0,0.0,0.0,6.7
